rate_name,class,quality,bathroom,bedding,capacity,club,bedrooms,balcony,view,floor
Suite DIPLOMATIC SUITE (with Club Access) Club,suite,,private bathroom,,,club,,no balcony,,
Double or Twin Room Standard Double Room (1 Double),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Economy standard room double (Main Building),room,economy,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Triple Studio Room With Kitchenette,studio,,private bathroom,,triple,not club,,no balcony,,
Hilton Junior Suite JUNIOR SUITE - JUNIOR SUITE (1 Double or 1 Twin),junior-suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Apartment, 2 Bedrooms, Balcony (4 Adults) (4 Twin Beds and 1 Double Sofa Bed)",apartment,,private bathroom,,,not club,2 bedrooms,balcony,,
Family Connecting Beachfront Lanai Pool Suite,suite,,private bathroom,,,not club,,no balcony,beachfront,
2-room superior apartment  (Main Building),apartment,superior,private bathroom,,,not club,2 bedrooms,no balcony,,
1-room standard double or twin apartment with 1 double bed double (Main Building),apartment,standard,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,,
"Suite, Terrace (Panoramic) (1 King Bed)",suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Deluxe Double Deluxe Room,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Standard Double or Twin Room (1 Queen Bed),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Deluxe TWIN DELUXE,room,deluxe,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Standard double Half Board Rate (payment at the hotel),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Twin/Double room - Atelier Twin/Double room - Atelier,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Executive Suite Partial Sea View With Balcony Executive Suite Partial Sea View With Balcony,Room Only (1 Double or 1 Twin)",suite,executive,private bathroom,double/double-or-twin,double,not club,,balcony,partial-sea view,
Suite - King bed - Prestige - Club Access - Living - Sofa bed - Sea view Suite - King bed - Prestige - Club Access - Living - Sofa bed - Sea view sea,suite,prestige,private bathroom,double/double-or-twin,double,club,,no balcony,sea view,
Studio double apartment Light double (Main Building),studio,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Standard Room, Garden View (2 Twin Beds)",room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,garden view,
Premium Twin Room with 20% discount on F&B,room,premium,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
"Suite, 1 King Bed, Accessible (Hearing) (1 King Bed)",suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Deluxe deluxe double,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Executive King Room Non Smoking non-smoking,room,executive,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Small Twin Room,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
"Apartment - 1 King Bed, Non-Smoking, Studio, Sofabed, Kitchenette, Wi-Fi, Air-Conditioned",studio,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
DOUBLE ROOM POOL VIEW Breakfast,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,pool view,
Two Bedroom Family Suite TWO BEDROOM FAMILY SUITE COURTYARD VIEW Courtyard,suite,,private bathroom,,,not club,2 bedrooms,no balcony,courtyard view,
Triple room Triple room,room,standard,private bathroom,,triple,not club,,no balcony,,
SUPERIOR ROOM PARTIAL SEA VIEW Room Only,room,superior,private bathroom,,,not club,,no balcony,partial-sea view,
Suite (1 King Bed and 1 Twin Bunk Bed),suite,,private bathroom,bunk bed,double,not club,,no balcony,,
Presidential Double bed,room,presidential,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Superior Suite, 1 King Bed (Miyabi Suite) (1 King Bed)",suite,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
1 King Bed Ada Tub(Room Only),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Two-room Deluxe Basic rate without breakfast,room,deluxe,private bathroom,,,not club,2 bedrooms,no balcony,,
Junior Suite junior lagoon view suite Lagoon,junior-suite,,private bathroom,,,not club,,no balcony,bay view,
Standard twin Standard rate with breakfast,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Comfort room with 3 single beds  (Main Building),room,comfort,private bathroom,,triple,not club,,no balcony,,
"Standard Twin Room Standard Room With Twin Beds Non Refundable,Breakfast (1 Twin)",room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Suite - Bomonti Suite - Bomonti,suite,,private bathroom,,,not club,,no balcony,,
"Deluxe Room, Ocean View Deluxe Ocean View (1 Double or 1 Twin)",room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,ocean view,
DELUXE OCEAN VIEW - DOUBLE/DOUBLE,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,ocean view,
deluxe king partial sea view with balcony Half Board,room,deluxe,private bathroom,double/double-or-twin,double,not club,,balcony,partial-sea view,
"Family Room, 2 Queen Beds, Non Smoking, Sea View",room,standard,private bathroom,,quadruple,not club,,no balcony,sea view,
Economy Basic Rate with breakfast,room,economy,private bathroom,,,not club,,no balcony,,
Apartments with 1 bedroom and a balcony Double bed,apartment,,private bathroom,double/double-or-twin,double,not club,1 bedroom,balcony,,
ONE BEDROOM SUITE FOUNTAIN VIEW,suite,,private bathroom,,,not club,1 bedroom,no balcony,water view,
"Swiss, Room, 1 King Bed, Garden View(Room Only)",room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,garden view,
"Deluxe Room, City View",room,deluxe,private bathroom,,,not club,,no balcony,city view,
Suite NoMad Suite 1 King Bed,suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
DELUXE Room Only,room,deluxe,private bathroom,,,not club,,no balcony,,
Standard BEDOUIN ROON KING-SIZED BED,room,standard,private bathroom,,,not club,,no balcony,,
"1 double 1 single, non-smoking, classic room, air-conditioned (1 Single)",room,classic,private bathroom,double/double-or-twin,single,not club,,no balcony,,
King Or Twin Room KING GUEST ROOM - KING GUEST ROOM (1 Double),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Family FAMILY DELUXE POOL Pool,room,deluxe,private bathroom,,,not club,,no balcony,,
Superior Room (Spa Access) (1 Queen Bed),room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Club Intercontinental Garden View Double,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,garden view,
Duplex 1 bedroom - Cloud - Living Duplex 1 bedroom - Cloud - Living,room,standard,private bathroom,,,not club,1 bedroom,no balcony,,duplex floor
Executive Double Room (2 Twin Beds),room,executive,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Saint Fiacre,room,standard,private bathroom,,,not club,,no balcony,,
"Junior Suite Room, Kingsize",junior-suite,,private bathroom,,,not club,,no balcony,,
DBL Superior,room,superior,private bathroom,,double,not club,,no balcony,,
POOL VILLA (2 Bedrooms) Breakfast,villa,,private bathroom,,,not club,2 bedrooms,no balcony,,
King Junior Suite,junior-suite,,private bathroom,,,not club,,no balcony,,
Standard double Basic rate without breakfast (payment at the hotel),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Family Fantasy,room,standard,private bathroom,,,not club,,no balcony,,
"Standard Fairmont, Double Room, 2 Queen Beds, Non Smoking",room,standard,private bathroom,,quadruple,not club,,no balcony,,
Comfort 2-rooms comfort Double bed One single bed,room,comfort,private bathroom,multiple,single,not club,2 bedrooms,no balcony,,
"Suite, 1 King Bed, Balcony (1 King Bed)",suite,,private bathroom,double/double-or-twin,double,not club,,balcony,,
Junior Suite (1 Queen Bed and 1 Twin Bed),junior-suite,,private bathroom,multiple,single,not club,,no balcony,,
2 Bedroom Skyline Suite Breakfast,suite,,private bathroom,,,not club,2 bedrooms,no balcony,,
Junior Suite Double,junior-suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Premium Apartment,apartment,premium,private bathroom,,,not club,,no balcony,,
Pulitzer Extra,room,standard,private bathroom,,,not club,,no balcony,,
"Comfort Suite, 1 Twin Bed (1 Twin Bed)",suite,comfort,private bathroom,single bed,single,not club,,no balcony,,
Junior Suite Non Smoking non-smoking,junior-suite,,private bathroom,,,not club,,no balcony,,
Villa Villa,villa,,private bathroom,,,not club,,no balcony,,
Deluxe Sea View Half Board,room,deluxe,private bathroom,,,not club,,no balcony,sea view,
Bungalow Twin Botanique with 2 twin beds twin  in block,bungalow,,shared bathroom,twin/twin-or-double,double,not club,,no balcony,,
Corner Suite with Mountain View,suite,,private bathroom,,,not club,,no balcony,mountain view,
PRESIDENTIAL SUITE Breakfast,suite,presidential,private bathroom,,,not club,,no balcony,,
Quadruple room Free nights Rate without breakfast,room,standard,private bathroom,,quadruple,not club,,no balcony,,
Junior Suite - Attic Junior Suite - Attic,junior-suite,,private bathroom,,,not club,,no balcony,,attic floor
junior suite walk view double Half Board,junior-suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Deluxe Jacuzzi Double (For 2 adults, 0 children and 0 infants)",room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Luxe room for two persons Double bed,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
GROSVENOR SUITE TWO BEDROOM Breakfast,suite,,private bathroom,,,not club,2 bedrooms,no balcony,,
Large Palace View,room,standard,private bathroom,,,not club,,no balcony,,
Superior Room Superior Double or Twin Room (1 Double or 1 Twin),room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Classic Room, 1 Double Bed, Non Smoking (1 Double Bed)",room,classic,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Economy family room  (Main Building),room,economy,private bathroom,,,not club,,no balcony,,
Deluxe Corner King Bed Room with Sea View Deluxe Corner King Bed Room with Sea View,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,sea view,
Suite Etoile,suite,,private bathroom,,,not club,,no balcony,,
TWIN SMOKING,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Twin Room - With Breakfast Deluxe Partial Sea View-Bed & Breakfast-Refundable Rate,room,deluxe,private bathroom,twin/twin-or-double,double,not club,,no balcony,partial-sea view,
Studio studio deluxe,studio,deluxe,private bathroom,,,not club,,no balcony,,
Standard RUN OF THE HOUSE,run-of-house,,,,,not club,,no balcony,,
Deluxe Twin room - De Luxe - Garden Garden,room,deluxe,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
"Premium Room, 1 King Bed, Courtyard View (Newly Renovated) (1 King Bed)",room,premium,private bathroom,double/double-or-twin,double,not club,,no balcony,courtyard view,
Queen Room with Sea View (1 Queen Bed),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,sea view,
battuta suite double All Inclusive,suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Comfort Room, 1 King Bed, Balcony, Pool View (with Sofabed) (1 King Bed)",room,comfort,private bathroom,double/double-or-twin,double,not club,,balcony,pool view,
"Double Room, 1 King Bed (1 King Bed)",room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Alexander Executive Suite (1 Double),suite,executive,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Two Bedrooms Apartment,apartment,,private bathroom,,,not club,2 bedrooms,no balcony,,
Superior Double bed Twin beds,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Standard Superior Single Basic Rate with half board,room,superior,private bathroom,,single,not club,,no balcony,,
Double room - De Luxe - Village Double room - De Luxe - Village,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Guest Room with King Bed Room Only,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Family Suite - King - Club Mirage - Ocean View Family Suite - King - Club Mirage - Ocean View ocean,suite,,private bathroom,,,not club,,no balcony,ocean view,
"premium room, 2 twin beds, city view Breakfast",room,premium,private bathroom,twin/twin-or-double,double,not club,,no balcony,city view,
"2 Single Beds, Non-Smoking, Superior Room, Larger Room",room,superior,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Twin,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Family Deluxe Pool Villa Family Deluxe Pool Villa,villa,deluxe,private bathroom,,,not club,,no balcony,,
Family room - Balcony Family room - Balcony,room,standard,private bathroom,,,not club,,balcony,,
Junior Suite Junior Suite Lake View Lake,junior-suite,,private bathroom,,,not club,,no balcony,lake view,
One Bedroom Suite Luxe One Bedroom Suite Sea View Sea,suite,,private bathroom,,,not club,1 bedroom,no balcony,sea view,
Prestige Twin Breakfast,room,prestige,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Dry Bridge Suite (1 King),suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
1 King Bed 1 Bedroom Suite 1 King Bed 1 Bedroom Suite,suite,,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,,
"Room, Sea View (Rover) Breakfast",room,standard,private bathroom,,,not club,,no balcony,sea view,
"Double Sea View High Floor, 2 Adults (1 Double Bed)",room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,sea view,
Lagoon Pool View Deluxe Terrace Lagoon Pool View Deluxe Terrace Breakfast Included (1 Double or 1 Twin),room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,pool view,
2 Bedroom City View,room,standard,private bathroom,,,not club,2 bedrooms,no balcony,city view,
DUPLEX POOL VIEW Breakfast,room,standard,private bathroom,,,not club,,no balcony,pool view,duplex floor
1 King Standardrd Burj Khalifa View Smoking 1 King Standardrd Burj Khalifa View Smoking,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,burj-khalifa view,
Deluxe Deluxe Sea View King Sea,room,deluxe,private bathroom,,,not club,,no balcony,sea view,
Standard room with 2 twin and 2 double beds double,room,standard,private bathroom,twin/twin-or-double,quadruple,not club,,no balcony,,
"Family Suite, Multiple Beds",suite,,private bathroom,,,not club,,no balcony,,
"Suite, 1 Bedroom, City View (1 King Bed)",suite,,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,city view,
Plaza Room,room,standard,private bathroom,,,not club,,no balcony,,
Comfort room,room,comfort,private bathroom,,,not club,,no balcony,,
"Two Bedroom Apartment KING TWO BEDROOM APARTMENT,84 SQM/FULL KITCHEN/WASHING MACH/DINING TABLE,2ND BDRM SINGLE BED/2 BATHRM/WIFI/MP3 CLOCK,",apartment,,private bathroom,single bed,single,not club,2 bedrooms,no balcony,,
Business,room,business,private bathroom,,,not club,,no balcony,,
Sea View Room,room,standard,private bathroom,,,not club,,no balcony,sea view,
Deluxe Double or Twin Room (1 Queen Bed),room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Prestige Suite,suite,prestige,private bathroom,,,not club,,no balcony,,
Single POPULAR PLUS,room,standard,private bathroom,,single,not club,,no balcony,,
AMBASSADOR SUITE,suite,ambassador,private bathroom,,,not club,,no balcony,,
Superior Double or Twin Room (2 Twin Beds) - Package Rate,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"family one bedroom apartment sea view, 1 king bed & 1 sofa bed, fully equipped kitchen Breakfast",apartment,,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,sea view,
Deluxe Family Room,room,deluxe,private bathroom,,,not club,,no balcony,,
Luxe King size bed,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Standard Triple Room (1 Double or 1 Twin),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Two Bedroom Grand Suite Grand Suite 2 Bedrooms,suite,grand,private bathroom,,,not club,2 bedrooms,no balcony,,
"Junior Suite, 1 Queen Bed (1 Queen Bed)",junior-suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
One Bedroom Suite One Bedroom Terrace Suite,suite,,private bathroom,,,not club,1 bedroom,no balcony,,
Deluxe Deluxe City View Room King City,room,deluxe,private bathroom,,,not club,,no balcony,city view,
Junior King Suite with Creek View non-smoking,junior-suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,water view,
room with 1 double bed equipped with the new bedding,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"One Bedroom Apartment Apartment, 1 Bedroom, 1 King Bed",apartment,,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,,
Standard plus Double bed Twin beds,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Superior,room,superior,private bathroom,,,not club,,no balcony,,
Two Bedroom Suite 2 Bedroom Suite - King Bed And Twin Bed,suite,,private bathroom,multiple,,not club,2 bedrooms,no balcony,,
TAPA COLLECTION PARTIAL OCEAN VIEW 1 KING BED TAPA COLLECTION PARTIAL OCEAN VIEW 1 KING BED - TAPA COLLECTION PARTIAL OCEAN VIEW 1 KING BED (1 Double),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,partial-ocean view,
3-beds safari tent twin (Annex Building),tent,,shared bathroom,,,not club,,no balcony,,
"Studio Suite, Accessible (1 King Bed)",suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Executive Room, 1 King Bed, City View (1 King Bed)",room,executive,private bathroom,double/double-or-twin,double,not club,,no balcony,city view,
Super King Room (1 King Bed),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Family Suite (Junior,Tamr Pool,Beach&Splash Prk Acc)",junior-suite,,private bathroom,,,not club,,no balcony,,
Classic Triple Room (1 Double or 1 Twin),room,classic,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Ekonomik - Çift Kişilik,room,economy,private bathroom,,,not club,,no balcony,,
Beachfront Lanai Pool Suite - King,suite,,private bathroom,,,not club,,no balcony,beachfront,
Noa Garden Twin,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Triple Standard Room Triple room (1 Double or 1 Twin),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Classic Double or Twin Room, Sea View (2 Twin Beds)",room,classic,private bathroom,double/double-or-twin,double,not club,,no balcony,sea view,
Executive Room (Golden Horn Vw),room,executive,private bathroom,,,not club,,no balcony,,
Presidential Suite 2 bedrooms Breakfast,suite,presidential,private bathroom,,,not club,2 bedrooms,no balcony,,
"Deluxe Deluxe room with king size bed, sea view Sea",room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,sea view,
VILLA POOL VIEW KING BED(Non-Refundable) Non-Refundable Rate. No Amendments Permitted,villa,,private bathroom,double/double-or-twin,double,not club,,no balcony,pool view,
Executive Room Executive Room Breakfast Included (1 Double or 1 Twin),room,executive,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Deluxe Suite, 1 Bedroom",suite,deluxe,private bathroom,,,not club,1 bedroom,no balcony,,
Superior Double room - Superior - Sea View Sea,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,sea view,
"Executive Suite, 1 Bedroom",suite,executive,private bathroom,,,not club,1 bedroom,no balcony,,
Studio superior room with 2 twin beds,studio,superior,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
"Superior Room, 1 King Bed, Lagoon View (1 King Bed)",room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,bay view,
Preferred Preferred Room,room,standard,private bathroom,,,not club,,no balcony,,
One-room suite with 1 bunk bed and sofa-bed (shared facilities) double  in block,suite,,shared bathroom,bunk bed,double,not club,1 bedroom,no balcony,,
KING EXECUTIVE CORNER ROOM WITH NILE VIEW,room,executive,private bathroom,,,not club,,no balcony,,
DUBAI EYE SEA VIEW ROOM Room Only,room,standard,private bathroom,,,not club,,no balcony,sea view,
Superior Twin Room,room,superior,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
"Deluxe Room, 1 King Bed, City View (1 King Bed)",room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,city view,
"Family Room, 2 Queen Beds, Non Smoking, Garden View (2 Queen Beds)",room,standard,private bathroom,,quadruple,not club,,no balcony,garden view,
Double Family Apartment with 2 children All Inclusive,apartment,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Standard Plaza view room with any 4 park access Park,room,standard,private bathroom,,,not club,,no balcony,,
"Room, 2 Twin Beds (2 Twin Beds)",room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Superior standard double or twin room twin (Main Building),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Junior Suite Junior Suite King Size Bed,junior-suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Premium Twin Room with 20% discount on FandB - Non-refundable Breakfast,room,premium,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Comfort room with a view of the Neva River twin,room,comfort,private bathroom,twin/twin-or-double,double,not club,,no balcony,with view,
Junior Suite JUNIOR SUITE KING SIZE BED,junior-suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
3 Bedroom Apartment 3 Bedroom Apartment,apartment,,private bathroom,,,not club,3 bedrooms,no balcony,,
Diplomatic Suite (1 King Bed and 2 Twin Beds),suite,,private bathroom,,quadruple,not club,,no balcony,,
Three Bedroom Residence,room,standard,private bathroom,,,not club,3 bedrooms,no balcony,,
"1 King Bed Premium Hearing Accessible Premium Room, 1 King Bed, Accessible (Hearing) (1 Double)",room,premium,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Double room - Executive - City View Double room - Executive - City View city,room,executive,private bathroom,double/double-or-twin,double,not club,,no balcony,city view,
Club Deluxe Twin,room,deluxe,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
"Family Deluxe Quadruple Room, 2 Bedrooms (1 Queen Bed and 2 Large Twin Beds)",room,deluxe,private bathroom,,quadruple,not club,2 bedrooms,no balcony,,
Family Suite - Sea View,suite,,private bathroom,,,not club,,no balcony,sea view,
Club King room with Club Lounge access,room,standard,private bathroom,double/double-or-twin,double,club,,no balcony,,
Bunk Pod - Shared Bath Bunk Pod - Shared Bath,capsule,standard,shared bathroom,,,not club,,no balcony,,
Suite (Canova),suite,,private bathroom,,,not club,,no balcony,,
"Superior Room, 1 King Bed",room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Family Suite, 2 Bedrooms (1 Double Bed and 2 Twin Beds)",suite,,private bathroom,,,not club,2 bedrooms,no balcony,,
Classic CLASSIC SUPERIOR ROOM,room,classic,private bathroom,,,not club,,no balcony,,
Deluxe Garden or Pool View (2 Double Beds),room,deluxe,private bathroom,twin/twin-or-double,quadruple,not club,,no balcony,with view,
"Premium Duplex, 2 Bedrooms (4 Adults + 1 Chil) (2 Double Beds and 1 Double Sofa Bed)",room,premium,private bathroom,twin/twin-or-double,quadruple,not club,2 bedrooms,no balcony,,duplex floor
Deluxe Terrace Room Deluxe Terrace Room,room,deluxe,private bathroom,,,not club,,no balcony,,
Triple TRIPLE CAPACITY 1,room,standard,private bathroom,,triple,not club,,no balcony,,
Suite Palace  Suite Fountain View Fountain,suite,,private bathroom,,,not club,,no balcony,water view,
1 Queen Bed Premium Single Sofa Bed 1 Queen Bed Premium Single Sofa Bed,room,premium,private bathroom,double/double-or-twin,single,not club,,no balcony,,
Superior premium room double (Main Building),room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Comfort,room,comfort,private bathroom,,,not club,,no balcony,,
Standard single room (breakfast included),room,standard,private bathroom,,single,not club,,no balcony,,
Superior Triple Room,room,superior,private bathroom,,triple,not club,,no balcony,,
Superior Room Single bed(1 Amount) Double(1 Amount),room,superior,private bathroom,multiple,single,not club,,no balcony,,
Villa with Pool and Ocean View Villa with Pool and Ocean View,villa,,private bathroom,,,not club,,no balcony,ocean view,
"Superior Room, 1 Double Bed Half Board",room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Corner Twin Room with City View Non smoking non-smoking,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,city view,
"Signature Signature Room, 1 King Bed (Khalifa View)",room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Junior Suite JUNIOR SUITE,junior-suite,,private bathroom,,,not club,,no balcony,,
EXECUTIVE SUITE Half Board,suite,executive,private bathroom,,,not club,,no balcony,,
Twin room - Aloft - Sea view Twin room - Aloft - Sea view sea,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,sea view,
One Bedroom Studio Studio One Bedroom Pool Villa,studio,,private bathroom,,,not club,1 bedroom,no balcony,,
One Bedroom Apartment Half Board,apartment,,private bathroom,,,not club,1 bedroom,no balcony,,
Executive room (building 1) double,room,executive,private bathroom,double/double-or-twin,double,not club,,no balcony,,
city double room,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
1 King Premium Manhattan Floor,room,premium,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Twin room - Balcony Twin room - Balcony,room,standard,private bathroom,twin/twin-or-double,double,not club,,balcony,,
Deluxe Room (2 Twin Beds),room,deluxe,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Standard Standard Room - NRF,room,standard,private bathroom,,,not club,,no balcony,,
"Ambassador Suite Suite, 1 King Bed, Non Smoking (Ambassador) (1 Double)",suite,ambassador,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Deluxe room double,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Rover Room Sea View Double (1 Double),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,sea view,
Suite room (attic) double,suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,attic floor
Run of House Run of House,run-of-house,,,,,not club,,no balcony,,
standard with 2 separate beds,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Deluxe Suite Suite Deluxe,suite,deluxe,private bathroom,,,not club,,no balcony,,
Double room Double room,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Double room King bed - Corner - Garden view Double room King bed - Corner - Garden view garden,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,garden view,
Economy Double or Twin ECONOMY,room,economy,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Basement Twin-No Window,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,basement floor
"Studio Suite Studio Suite, 1 King Bed",suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Superior Room (2 Twin Beds),room,superior,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Economy twin room (shared facilities) twin  in block,room,economy,shared bathroom,twin/twin-or-double,double,not club,,no balcony,,
"Deluxe Suite, 1 Bedroom, Lounge access (1 King Bed)",suite,deluxe,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,,
Standard Triple Room,room,standard,private bathroom,,triple,not club,,no balcony,,
sea view junior suite twin Half Board,junior-suite,,private bathroom,twin/twin-or-double,double,not club,,no balcony,sea view,
Junior Suite(1 Double Bed),junior-suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Deluxe Palacio,room,deluxe,private bathroom,,,not club,,no balcony,,
1-room standard comfort room double,room,standard,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,,
Double/Double - De luxe - Ocean view Double/Double - De luxe - Ocean view ocean,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,ocean view,
Superior apartment twin,apartment,superior,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
sharedBed in male dormitory room with 2 bunk-beds   in block,dorm,,shared bathroom,,,not club,,no balcony,,
2-room standard apartment,apartment,standard,private bathroom,,,not club,2 bedrooms,no balcony,,
"Family Quadruple Room (1 King Bed, 1 Large Twin Bed and 1 Twin Bed)",room,standard,private bathroom,multiple,single,not club,,no balcony,,
"Family Room with Balcony & Pool View. Includes Theme Park Access, Shuttle to MOE & Dubai Mall",room,standard,private bathroom,,,not club,,balcony,pool view,
Standard Triple Room with Partial Sea View (1 Double or 1 Twin),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,partial-sea view,
Quadruple Quadruple room - De Luxe,room,deluxe,private bathroom,,quadruple,not club,,no balcony,,
Double Room - Room Only Grand Premier Burj View-Room Only-Refundable Rate,room,premier,private bathroom,double/double-or-twin,double,not club,,no balcony,,
